id,source,title,setting,stationType,suggested_status,suggested_category,confidence,rationale,already_annotated,human_validated_status,human_validated_category,human_notes
AMBOSS-1,AMBOSS,Douleurs abdominales - Femme 47 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-2,AMBOSS,Douleurs abdominales - Femme 23 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-3,AMBOSS,Douleurs abdominales - Femme 34 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-4,AMBOSS,Saignements vaginaux - Femme 50 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-5,AMBOSS,Nausées - Femme 19 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-6,AMBOSS,Douleurs pelviennes - Femme 30 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-7,AMBOSS,Toux et fièvre - Fillette 2 ans,Consultation téléphonique,teleconsultation,C,,0.40,"[teleconsult_non_violence] Téléconsultation hors maltraitance — responsabilité médicale, hors scope Phase 6 J1",false,B,,
AMBOSS-8,AMBOSS,Troubles du transit - Homme 32 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-9,AMBOSS,Douleurs dorsales - Homme 71 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-10,AMBOSS,Douleurs dorsales et raideur - Homme 26 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-11,AMBOSS,Selles noires - Homme 65 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-12,AMBOSS,Douleur thoracique - Femme 35 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-13,AMBOSS,Douleur thoracique - Homme 35 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-14,AMBOSS,Douleur thoracique - Homme 45 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-15,AMBOSS,Douleur abdominale chronique - Garçon 6 ans,Consultation téléphonique,teleconsultation,C,,0.40,"[teleconsult_non_violence] Téléconsultation hors maltraitance — responsabilité médicale, hors scope Phase 6 J1",false,B,,
AMBOSS-16,AMBOSS,Troubles du sommeil - Femme 32 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-17,AMBOSS,Troubles de mémoire - Femme 70 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-18,AMBOSS,Toux chronique - Femme 21 ans,Clinique de santé étudiante,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-19,AMBOSS,Toux chronique - Femme 53 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-20,AMBOSS,Diminution de sensation dans les extrémités - Homme 42 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-21,AMBOSS,Hématurie - Homme 23 ans,Service d'urgence,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-22,AMBOSS,Dysphagie - Femme 60 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-23,AMBOSS,Perte auditive - Homme 65 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-24,AMBOSS,Évaluation après chute - Femme 30 ans,Clinique de soins urgents,anamnese_examen,A,secret_pro_levee,1.00,Déjà annotée Phase 5 — legalContext présent dans la fixture,true,A,secret_pro_levee,
AMBOSS-25,AMBOSS,Douleur au genou - Femme 47 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-26,AMBOSS,Céphalée - Homme 29 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-27,AMBOSS,Fatigue - Femme 28 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-28,AMBOSS,Prise de poids - Homme 45 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-29,AMBOSS,Fatigue - Femme 18 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-30,AMBOSS,Mal de gorge - Homme 19 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-31,AMBOSS,Toux - Homme 58 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-32,AMBOSS,Lésion génitale - Femme 17 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-33,AMBOSS,Céphalée - Femme 55 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-34,AMBOSS,Perte de vision - Homme 66 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-35,AMBOSS,Brûlures d'estomac - Femme 54 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-36,AMBOSS,Fatigue - Homme 54 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-37,AMBOSS,Changements cutanés - Nouveau-née 4 jours,Cabinet médical,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
AMBOSS-38,AMBOSS,Douleur à la cheville - Femme 28 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-39,AMBOSS,Douleur à l'épaule - Homme 52 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
AMBOSS-40,AMBOSS,Vertiges - Homme 25 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false,B,,
German-1,German,Abus d'alcool,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-2,German,Acouphènes,Cabinet ORL,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-3,German,Allaitement - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-4,German,Anxiété,Cabinet de psychiatrie (remplacement),psy,C,,0.40,[psy_no_emergency] Psychiatrie sans urgence suicidaire — peut nécessiter directives anticipées ou capacité de discernement (Phase 7),false,B,,
German-5,German,AVP,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-6,German,Bouffées de chaleur,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-7,German,Bradycardie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-8,German,Céphalées,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-9,German,Céphalées,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-10,German,Chute,Service d'urgences de l'hôpital cantonal de Lucerne,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-11,German,Chute,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-12,German,Constipation,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-13,German,Diarrhée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-14,German,Difficultés scolaires - Pédiatrie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-15,German,Douleur abdominale,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-16,German,Douleur abdominale,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-17,German,Douleur abdominale,Cabinet de gynécologie,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-18,German,Douleur abdominale,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-19,German,Douleur abdominale,Service médical,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-20,German,Douleur abdominale,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-21,German,Douleur abdominale,Service d'urgence d'un hôpital régional,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-22,German,Douleur au coude,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-23,German,Douleur au genou,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-24,German,Douleur au poignet,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-25,German,Douleur au talon,Service d'urgence d'un hôpital régional,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-26,German,Douleur aux jambes,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-27,German,Douleur à l'épaule,Cabinet de médecine générale (remplacement),anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-28,German,Douleur à l'oreille - Pédiatrie,Service d'urgences pédiatriques,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-29,German,Douleur à la hanche,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-30,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-31,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-32,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-33,German,Douleur thoracique,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-34,German,Dysphagie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-35,German,Dyspnée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-36,German,Dyspnée,Cabinet de médecine générale en zone rurale (remplacement),anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-37,German,Dysurie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-38,German,EM Tabac,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-39,German,EM Vaccinations - Pédiatrie,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-40,German,Enurésie - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-41,German,Epilepsie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-42,German,Eruption cutanée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-43,German,Eruption cutanée,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-44,German,Erythème,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-45,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-46,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-47,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-48,German,Fièvre - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false,B,,
German-49,German,Gonflement abdominal,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-50,German,Gonflement du visage,Consultation ambulatoire de permanence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-51,German,Hématurie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-52,German,Hémoptysie,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-53,German,Hypertension,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
German-54,German,Hypertension,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false,B,,
